SHIPMT_ID,ORIG_STATE,ORIG_MA,ORIG_CFS_AREA,DEST_STATE,DEST_MA,DEST_CFS_AREA,NAICS,QUARTER,SCTG,MODE,SHIPMT_VALUE,SHIPMT_WGHT,SHIPMT_DIST_GC,SHIPMT_DIST_ROUTED,TEMP_CNTL_YN,EXPORT_YN,EXPORT_CNTRY,HAZMAT,WGT_FACTOR
0032726,39,99999,39-99999,39,99999,39-99999,327,2,31,05,268,4069,31,39,N,N,N,N,280.9
0032727,13,99999,13-99999,13,99999,13-99999,321,4,26,05,6085,40726,11,11,N,N,N,N,86.3
0032728,42,428,42-428,27,99999,27-99999,332,1,33,14,1036,45,1024,1387,N,N,N,N,210.6
0032729,37,172,37-172,48,288,48-288,314,2,30,04,125,1309,905,1036,N,N,N,N,130.8
0032730,48,12420,48-12420,48,12420,48-12420,4238,3,43,05,145,57,23,25,N,N,N,N,1601.0
0032731,55,376,55-376,13,99999,13-99999,335,3,35,04,1572,669,586,717,N,N,N,N,75.9
0032732,47,368,47-368,28,99999,28-99999,4236,2,43,05,152,3,16,18,N,N,N,N,2267.2
0032733,16,99999,16-99999,56,99999,56-99999,332,1,33,05,2374,2355,94,147,N,N,N,N,20.7
0032734,55,99999,55-99999,36,99999,36-99999,316,3,30,14,224,12,687,988,N,N,N,N,2136.2
0032735,48,13140,48-13140,48,13140,48-13140,325,2,24,04,26792,38274,10,10,N,N,N,N,285.4
0032736,28,99999,28-99999,28,99999,28-99999,4233,2,26,05,2293,1085,59,66,N,N,N,N,750.1
0032737,23,99999,23-99999,13,122,13-122,313,3,30,14,209,7,1052,1250,N,N,N,N,10.6
0032738,20,99999,20-99999,20,99999,20-99999,4234,2,43,05,1315,110,44,49,N,N,N,N,61.0
0032739,26,99999,26-99999,12,45300,12-45300,335,1,40,14,765,82,1008,1216,N,N,N,N,637.1
0032740,39,184,39-184,39,184,39-184,311,1,07,04,34,80,57,63,Y,N,N,N,5493.3
0032741,39,198,39-198,39,198,39-198,4231,2,36,04,425,45,12,12,N,N,N,N,2438.5
0032742,42,428,42-428,42,428,42-428,45431,2,18,05,164,256,5,7,N,N,N,P,200.5
0032743,20,99999,20-99999,20,99999,20-99999,311,1,04,05,2575,6575,51,87,N,N,N,N,357.1
0032744,39,212,39-212,39,212,39-212,4245,3,02,05,10022,64432,12,12,N,N,N,N,24.5
0032745,28,99999,28-99999,28,99999,28-99999,4249,2,24,05,467,190,10,13,N,N,N,N,940.4
0032746,13,99999,13-99999,13,99999,13-99999,323,3,28,04,30,6,5,5,N,N,N,N,1484.7
0032747,31,99999,31-99999,25,148,25-148,335,2,35,14,66,1,1465,1665,N,N,N,N,29.1
0032748,08,216,08-216,08,216,08-216,4244,2,03,05,236,77,7,8,Y,N,N,N,2475.4
0032749,53,500,53-500,53,500,53-500,4235,2,33,05,1753,3068,58,70,N,N,N,N,834.8
0032750,37,450,37-450,36,408,36-408,4236,1,35,14,1,1,435,526,N,N,N,N,1994.3
0032751,42,99999,42-99999,06,348,06-348,311,3,06,04,20210,20835,2286,2613,N,N,N,N,532.3
0032752,37,99999,37-99999,48,99999,48-99999,332,1,33,04,1597,317,907,1073,N,N,N,N,2453.5
0032753,21,350,21-350,51,99999,51-99999,311,4,07,04,5580,4024,394,566,N,N,N,N,153.5
0032754,36,99999,36-99999,06,348,06-348,5111,4,29,14,138,1,2366,2750,N,N,N,N,10773.1
0032755,39,184,39-184,39,184,39-184,212,4,12,05,234,52181,7,7,N,N,N,N,725.0
